,labels,text
447,1,"for you & your loved one keep people _afsana with pehchaan ""the street school"""
448,0,bored sitting at home remember there are peoples who have no homes
449,2,likeee can i find a real nigga before this corona virus kill me
450,0,live 400 mn indian workers may sink into poverty says *first concern is to protect human from development concerns can wait *
451,3,drunk rude white girls <<<<< coronavirus
452,1,life style during corona pic twitter com/353g3ji6hx
453,2,went for a jog had shortness of breath after coronavirus
454,2,why the covid 19 coronavirus is worse than the flu in one chart vox
455,3,disgusting attempted to sneak taxpayer funded abortions into the coronavirus relief bill via
456,3,wait—something crashed pic twitter com/kw31w6jd8t
457,0,please register fir against this fake doctor spreading misinformation on coronavirus and order youtube to block this account
458,2,gantz chosen to form government netanyahu argues to stay pm over coronavirus concerns
459,0,sindh govt is fighting with corona for safety of people and federal govt is fighting with sindh govt for face saving
460,0,from the field covid 19 related ‘tragedy' unfolding in yemen
461,0,federal govt skeptical of punjab's coronavirus testing data …
462,2,this is very important dry skin allows bad bacteria do not just wash your hands to prevent coronavirus moisturize them too
463,3,so they cancelled gym classes because of the see now i'm mad
464,2,you know whats more dangerous then corona virus a feelings wilted_flower
465,2,this corona virus thing is making me sick
466,1,had partnered with and other learning creators on a new destination for at home learning and
467,3,trump accused of coronavirus 'cover up' as president faces criticism for giving money to companie via
468,0,silent spreaders corona asymptomatic coronavirus cases no symptoms in 80% of covid cases raise concerns the economic times
469,3,damn i wish people cared about the opioid crisis as much as they do they corona virus
470,1,home stay safe
471,3,anyone's employer suggest using sick and vacation time during this shut down
472,1,̇d19 alexgabyfan my baby trying to navigate to watch gaby and alex (top kids show) listen carefully she was trying to tell …
473,2,no one calls it the chinese flu or chinese coronavirus you racist people do
474,0,how the private bus will run in kolkata now after covid unless monetary help by bengal govt …
475,3,coronavirus will expose capitalism like never before via
476,3,scam likely must have the corona virus mufuckas is not hit my line in a few weeks
477,2,people italy did not shut down to make donald trump look bad stop with the “it's the media creating panic” story
478,0,prayers for the sufferers and workers on covid
479,2,what a great photo of driver warning media in melbourne to stay back due to fears pic twitter com/uerhkykn7y
480,0,why 9 days late to screening passenger to the airport corona virus is not serious for u
481,2,this rough sleepers and drug users not getting coronavirus advice
482,3,im tired of people lookin at me like im ab to give them when i sneeze bitch i got seasonal allergies
483,1,good morning twittizens wish you a corona free day
484,3,if 55% of americans are okay with how trump is handling coronavirus why are so many people online in a rage
485,3,there is no injections for handle girls do not trust your bfs
486,3,so are governments wasting money on coronavirus
487,3,mirror uk on coronavirus lockdown with mass gatherings and sports games to be banned via
488,0,lockdown 5 is like that part of a video game where you know you are losing it so you continue anyway
489,1,good morning everyone i love my habit of waking up at 4am daily during this whats your habit _19 ー19
490,1,our duty is that to be to of _19india let us win this /wz00vtmikl – at lb nagar
491,0,miss will be happy for another lockdown
492,2,how to prepare from home for jee main neet exams effectively during …
493,0,i lost my job due covid 19 crisis and million others
494,3,fr but they keep u away from coronavirus
495,3,so you no longer think that the coronavirus is a hoax perpetrated by the democrats exactly when was your epiphany moment
496,2,when fear drives us apart 6 ways to collaborate rather than compete and why it is important for your career
497,0,so instead of unlock 1 0 odisha govt has now imposed lockdown 5 0 pic twitter com/huv1nei3u4
498,3,barr issues directive ordering doj to investigate coronavirus scammers
499,1,while the rna of the was found in tiny droplets in scientists do not know if it was capable of transmitting the virus
500,0,jnu sanitation workers have not been paid for 3 months lockdown and covid 19 crisis has made their lives difficult …
501,3,do not take any chances coronavirus patient warns
502,0,sir please do something for m e students in mumbai university mu is always delayed for engineering and now this covid 19
503,2,oh no ( there is the second case of coronavirus on paraguay (
504,0,trump and modi in their ubiqutous hubris denied covid 19 initailly making their own people more unsafe …
505,2,this coronavirus noise reminds me why i need to live somewhere else where i can take my health seriously
506,1,u should go to the corona test save your loved ones think about
507,3,this coronavirus got serious real quick pretty scary
508,2,the bodies are present while the spirits are dead __19
509,1,"lockdown is so beautiful ""our city our pride"" …"
510,1,57 new covid19 cases in kerala today 27 nris 28 from other states 1 air india crew 1 health worker 18 recoveries today
511,3,coronavirus
512,0,leave korona lockdown china …
513,1,we will well soon we won this war against covid19
514,0,the real problem is covid19 and ph govt is diverting it to useless case dahil na nman cguro na hurt ang ego
515,3,we hosting a fuck party tn
516,1,go corona plz ab jaao na my sweet enemy see this instagram post by
517,2,mexico frets about u s coronavirus spread could restrict border build the wall
518,2,coronavirus infections in children including covid 19 the pediatric infectious disease journal
519,0,please burn corona infected dead persons in electric creeamatorium
520,2,abuses for c2 communication twitter com/sslfhbl8ah
521,3,this is not a time for jokes but someone called the coronavirus the “wuhan waylayer” & i could not help but chuckle
522,1,i love the way they used tabligi for covid19
523,1,jai shri ram ji plz obey lockdown and be fit healthy
524,1,day raised_hand_light_skin_tone victory_hand_light_skin_tone victory_hand_light_skin_tone globe_showing_Asia-Australia
525,3,field trips are getting cancelled and now dance competitions too frickin coronavirus ruined it ahh
526,1,my habits are really change during this covid pandemic
527,0,lockdown extension to have deep impact on indian economy …
528,0,corona cases continue to rise sindh chief minister syed murad ali shah increased lockdown in sindh till april 14
529,0,this is going to be a loss making time for one of worlds most profitable business sector with outbreak of covid19
530,3,have you ever put your car in reverse and just smashed the bumper into smithereens and just kept on driving
531,2,all those people panic buying toilet roll and hand sanitiser please stock up on condoms so you do not produce any more idiots
532,1,"gymtrainer how was your workout session in lockdown me thinking what is the workout term for ""charbi bdhi padi hai """
533,2,millennials have engineered a corona virus to kill the boomer industry
534,1,do not forget failure to help the people during covid19 outbreak
535,1,remind this to yourself and everyone around every single day and twitter com/ttsnqknab6
536,1,covid 19 coffee pic twitter com/fbvdorn8k5 – at dose cafe
537,3,china is censoring coronavirus stories these citizens are fighting back via
538,3,damn come on at&t step up your game comcast suspends data caps makes xfinity wifi free for 60 days
539,1,bro pls teach how to survive in lockdown
540,2,"""what we need is to control the panic ” why this nobel laureate predicts a quicker coronavirus recovery 'we're going to be fine'"
541,3,why is every store selling out of toilet paper it is coronavirus not montezumas revenge
542,0,purvanchal expressway despite lockdown delay india's longest expressway in up to open by year end the financial express …
543,2,do not wana spread panic but this my friends is a sign of apocalypse …pic twitter com/4pqmtgslp4 – at bramhaputra river
544,0,please help
545,0,miss corona on their way for the next wave in malaysia after mco was lifted
546,1,good solution
547,0,very much disappointed had been a loyal customer since so long and yet you cannot even promise us good net during lockdown
548,3,if you strongly disagree just sign the below petition
549,0,7th death caused by lockdown
550,1,a different perspective in the covid world is quarantine life required
551,2,hopefully coronavirus eats away at him slowly and painfully
552,1,agree with this until and unless we see a decrease on new cases per day it will not be wise to lift lockdown …
553,1,happy ramadan everyone dizzy may this ramadan brings peace and happiness and make the world corona free and safe again ameen
554,3,lawmaker retracts claim that idf sprays ' ' with 'unknown substance'
555,0,face_with_tears_of_joy covid times
556,3,i am forever grateful to the coronavirus for shutting down my school
557,2,the coronavirus is not shit my ex was more toxic
558,0,766 people with symptoms have been admitted to hospitals across situation now under control cm
559,3,oh good coronavirus somehow gets even worse
560,0,i lost my job due to covid 19 crisis and million others
561,0,51 year old male covid 19 patient dies in maharashtra taking death toll to 13
562,1,sir excellent work to boost up the moral of corona warriors great work sir
563,2,me explaining why i'm worried about corona virus
564,3,idk its all about the coronavirus so alot of stores ran out of toilet paper
565,0,covid is not a bodily disease anymore it is now affecting social mental & emotional health
566,0,bbc news coronavirus india defiant as millions struggle under lockdown
567,0,surrendering to covid has started at govt level of dharma …
568,1,she is my daughter and her name is “ shrinika singh” if you feel good then please show her in your corona kids wala mein …
569,1,celebrating world milk day with our women leaders pic twitter com/ef0sq9vias
570,3,capitalism (and the greed it breeds) is probably going to make the spread of even worse in the us
571,1,exploring my archives | good hand washing technique must be practiced | hot spring
572,3,doomsday preppers are in their bunkers laughing
573,2,why the hell are we running out of toilet paper this is insane
574,1,2 lovely brothers already lifted hands facing coronavirus
575,3,coronavirus is not even real the us will do anything for some rts smh
576,1,lockdown tour of my collection of vintage apple products happy 44th birthday apple  …
577,0,my heart sinks if not coronavirus hunger would kill folk and vice versa …
578,3,pelosi's coronavirus stimulus includes return of 'obamaphones ' other unrelated items gop says this drunk is crazy
579,1,stay home stay healthy stop spread love and save humanity ー19 _19sapic twitter com/rhy9x8wdbd
580,3,the united states of america will hammer this piece of shit into the ground we will exterminate it prepare to be impressed
581,0,heavy_minus_sign heavy_minus_sign play_button ︎ follow ( ) play_button ︎ follow ( ) heavy_minus_sign heavy_minus_sign …
582,0,corona did not break a system corona exposed a broken system
583,3,i do not think the coronavirus realizes who it is messing with pic twitter com/llvkv4ne98
584,2,you all really are going nuts over the coronavirus only in america you all
585,0,covid 19 etisalat offers free internet video voice calls for two months …
586,1,… our new lockdown special corona song is going viral here's the link to the video …
587,2,nothing makes me more mad than improper usage of they are there and their
588,0,music composer passed away due to covid 19 rip pic twitter com/yi7uia2t7y
589,1,covid in a box lol
590,0,dear sir us secretary of defense and the war against the 19 covid virus has evolved into a global war …
591,1,this is the moment for federalism this is the moment for local leaders and for the decentralization of power
592,2,dollars vs deaths is the sickening choice created by coronavirus
593,1,thank god this covid 19 prepared us for this
594,2,and the ‘ effect' increased exposure to poses health biosafety and global security risks
595,3,thanks for smacking down this nonsense chairman everyone is working together in n h
596,3,yall should watch al jazeera bbc and cnn for corona update shit is mad out there
597,1,the presence of the doctor is the beginning of the cure doctor's now a days ya allah save whole world ameen _19
598,3,dallas is over here trying to set itself up as an alternate location for esports and coronavirus is shitting all over them
599,0,please register fir against this fake doctor spreading misinformation on coronavirus and order youtube to block this account
600,2,building on this guidance on how oncologists & leaders can control misinformation may be helpful t2
601,3,police warn public about ‘people knocking on doors claiming to be testing for coronavirus' harrow online
602,2,germany's low coronavirus mortality rate intrigues experts
603,0,corona fuck you loudly_crying_face loudly_crying_face i want to go here loudly_crying_face
604,1,number of coronavirus cases in maharashtra rises to 335 increase of 33 since monday night health officials
605,1,corona virus family is present in felines nothin new
606,1,… covid good news
607,1,love is in the air but do you know that you get no air to breathe if you are involved with a toxic love ~shrey
608,0,unable to register in seva sindu nor unable to reach them via call
609,3,ww3 fires storms floods coronavirus whats next a heatwave i hope
610,1,yes i'm at _19india … – at greater noida | ग्रेटर नोएडा
611,2,italy's coronavirus response is a warning from the future the atlantic
612,2,coronavirus and mental health anxieties spike amid bay area's isolation san josé spotlight via
613,3,attention all rappers please get your i shut shit down like the bars out early and often we do not want to hear it after easter
614,2,a coronavirus cautionary tale from italy do not do what we did via
615,2,world is in danger what the heck are doing
616,3,medical tv dramas are donating equipment amid coronavirus outbreak _19
617,1,in lockdown people are making it wow ps
618,2,yea i moved over three weeks ago bad timing with the coronavirus though
619,0,wish corona caught me
620,1,who is going to use it smiling_face_with_smiling_eyes me yes raised_hand
621,1,west bengal me 4 hours sweet shop open kya lockdown successful ho payga
622,0,lockdown hits transgenders hard in bihar | patna news times of india …
623,0,when entire nation is fighting corona our govt is still busy stripping us …
624,1,lol no politics on corona ahmed
625,3,this is all till you cancel my im mad now
626,2,your dog has been affected by coronavirus
627,3,trump spent weeks downplaying the he is now pretending that never happened
628,1,sunset 1 june 2020 …
629,0,govt hospital always foc even without crisis corona
630,2,key takeaway here is coronavirus spreading in the prison system
631,1,hi everyone how are you at smart city …
632,3,colombian groups exploiting coronavirus lockdown to kill activists pic twitter com/qgog53pplt
633,2,lockdown panic famine and inequality
634,0,take healthy food say goodbye to corona virus( ) twitter com/aahq9ztn87
635,1,god bless us after covid 19 please come to with your family to my home for ganpati
636,0,this is called indian corona virus it cannot be cured
637,2,coronavirus is the trump catastrophe we have been terrified of via
638,3,is not no fucking coronavirus going to stop me from going on cute dates with my crush
639,0,ani did not mentioned the cause of death koi corona bata raha hai koi kidney failure …
640,0,why shud i suffer because of such ppl if i catch corona it is only because of tabligh
641,3,fuck me this song might be the cure to coronavirus
642,3,santi i swear to god if you bring corona virus into my home i will be upset
643,0,wish corona caught me
644,3,here are 13 claims has made about coronavirus that have already been disputed # xmbvwlnwqes twitter …
645,2,absolutely love these & even more so under the current circumstances
646,3,norwegian cruise line managers told sales staff to lie to customers about coronavirus via
647,2,being on campus today was so depressing coronavirus really killing the vibe
648,0,why are you lying on the deaths of covid patients twitter com/kcfgdftcgh
649,0,has the lockdown already failed the migrant labourer and now markaz …
650,0,again covid takes great soul rip
651,2,a trauma informed approach to teaching through coronavirus
652,3,in response to covid19 nba 2k20 has temporarily closed the neighbourhood _19
653,2,coronavirus is going to get worse if people do not stop going outside
654,0,coronavirus india lockdown day 69 live updates | eight more die of covid 19 in west bengal 271 fresh cases reported …
655,0,worst news of today coronavirus updates india now seventh worst hit country in world the economic times …
656,3,man attacked accused of causing coronavirus in belgium via /r/asianamerican
657,0,from where can i get list of recognised testing/collection centres both govt and pvt clinics chandigarh panchkula area
658,1,faridabad
659,2,today it is coronavirus tomorrow guinnessbola
660,1,during stay at home house of _mandanna smiling_face
661,2,georgia postpones presidential primary after coronavirus fears becoming second state to move its election 1584229533 … newsweek
662,2,*update* town of canton announces local emergency declaration in response to public threat caused by coronavirus follow the link
663,2,threat assessment for march 9th back in black
664,0,wearing mask and stay away and following the instructions of govt is the only way to cure
665,3,"""its not a game of chance if you cant loose"" raul"
666,0,*astard did not you kick them out of delhi shame on you doing theatrics now …
667,2,health and human services hit with cyber attack aimed at slowing coronavirus response report
668,0,still obsessed are corona is there beware
669,0,anthony causi beloved post sports photographer dies of coronavirus at 48 via
670,2,bruh this corona virus shit with canceling everything is annoying smhhh
671,0,miss u too babe lets meet after this corona thingy is over '(
672,3,coronavirus biggest cockblock of all time want to jump off a bridge
673,2,joe biden's coronavirus web address lands on a donation page for his campaign he is profiting from fear demopos
674,0,ek corona 100 sideaffects 400 dead …
675,0,are you guys ordering clothes for eid i'm so confused where and for whom would i wear them broken_heart
676,1,wud be happy states take u into board and plan to curb corona earliest
677,0,when india is in lockdown we have more than lakhs of _19 cases then can you imagine what will happen after ending
678,3,i'm good because i do not give a shit about the coronavirus
679,1,you enjoy the increasing cases in …
680,3,trump's dangerously effective coronavirus propaganda
681,3,i'm an epidemiologist when i heard about britain's ‘herd immunity' coronavirus plan i thought it was satire | william hanage
682,0,those who lose jobs & livelihood are blaming politicians who want long lockdown
683,0,* * *one more covid death reported from kashmir a patient from shopian passed away at srinagar hospital today j&k toll 29
684,2,how to beat the corona virus stay at home and chill
685,0,now people will not die of hunger they will die of _19 please follow and encourage stay at home
686,2,sick with worry an employer's guide to managing concerns in the via
687,2,my worst fear right now is my plug catches coronavirus and i smoke his coronavirus weed
688,3,stephen colbert's bathtub monologue ruined coronavirus' only silver lining
689,1,good morning take a deep breath and everything will be ok in the end and if its not ok and it is not the end ー19 #जयश्रीराम
690,3,no lie i been feeling sick and i do not want to find out it is the corona virus
691,0,music composer of sajid wajid passed away a short while back he was suffering from pic twitter com/wtbkuktd5e
692,0,"covid19 be confused af watchin intl news at the crib ""it used to be all bout me sleepy_face "" ""where's my 1meter """
693,0,dude did american realise that they still in the middle of pandemic covid19 …
694,1,ji line corona variants ppe kit workers you so much guruvar folded_hands folded_hands rose rose bouquet bouquet
695,0,pakistan saw a record 2 636 coronavirus cases 57 deaths in last 24 hours
696,3,times square in the time of coronavirus so f*ckin surreal 19
697,3,what if the coronavirus is just a clever ruse made up to get people to start washing their fucking hands
698,1,from red_heart literacy paradise a lockdown music vedio by and team releasing soon
699,0,he is again resorting to confrontation to deflect attention of people from his failure to fight in delhi
700,2,“coronavirus forecasts are grim ‘it's going to get worse'” ⁦⁩
701,3,it is looking like the libs want to own putting party over country is disgusting
702,0,pm citizen portal is not working since morning youth is unable to register for corona tiger force twitter com/v8ghav58or
703,3,adiaram a sleep se fude coronavírus
704,3,that must be the coronavirus cuts playlist the shit is hilarious
705,2,meanwhile other youtubers are panicking making there followers panic let us stay calm folks let us talk about coronavirus via
706,0,asymptomatic they can be sitting next to you
707,1,in impressed by this red_heart
708,3,belgium will restrict movement in the country because of the coronavirus outbreak ー19uk
709,0,maulana calls corona a ' servant of allah ' celebrates death of non muslims
710,1,establish peace victory_hand in covid 19
711,2,shelby county schools to be cancelled starting friday march 13 through march 30 due to coronavirus concerns
712,1,recover soon you are a corona warrior
713,1,came across this wonderful piece of writing lucidly described beautifully compared /ujox2tvkxh
714,1,happy corona birthday
715,1,morning follow the lockdown to stay safe and give others a sense of security folded_hands folded_hands
716,3,as with any crisis it is worse than the government is saying but not as bad as the media paints it
717,3,trump changes tone after dismissing coronavirus as a democratic 'hoax' | via
718,0,california doctors say they have seen more deaths from suicide than coronavirus since lockdowns
719,0,guess what we have to live with it at least for now _19 /r8bzuwt93w
720,1,love while following distancing norms
721,1,the new protection way for covid 19 no more mask let follow him 55 twitter com/vxndmgfsx7
722,2,coworker walks into room coughing me coronavirus him nah just allergies i laughed he laughed the coronavirus laughed
723,3,i think girls think i have the coronavirus cuz they keep avoiding me
724,0,good job sir but what about those people who stuck in goa by lockdown will your govt planning about to send them back their home
725,1,good work sir no one can forget your ossam work for this crucial time covid 19
726,2,"""coronavirus could hurt boeing more than the 737 max crisis"""
727,2,coronavirus block their ear ni bunch of immature pple
728,2,yes and pushkin really does not trigger me can avoid duels and dont plan to drink on the streets during
729,3,hitler in action turning asylum seekers away in response to coronavirus outbreak 'will endanger more lives ' rights groups warn
730,3,i'm in montgomery and the coronavirus is not stopped these niggas shooting either
731,3,you spelt coronavirus wrong
732,0,after a month apart due to a father visits his young daughter who is fighting cancer in the hospital
733,2,idk what the government is up to but there is something shady af about this coronavirus hysteria
734,1,with
735,2,if the corona virus cancels this summer i'm going to be fuminggggg
736,3,coronavirus lockdown got me working on the 32894743 songs i started and abandoned
737,1,cherry blossom winking_face
738,0,this is worst than covid19
739,1,my life sharks
740,0,what is this happening to this lovely island disappointing please wake up teach them a lesson do not play with innocent people …
741,1,lockdown success
742,0,for the 6th day in the last 7 we have had after america the highest daily death toll from covid19 in the entire world
743,2,i hope i'm just drunk and not sick with coronavirus seeing this outside my window
744,1,book from the comfort of your home • • • _19 _19_test… …
745,0,hope she gets well soon she is no different from other covid patients who are suffering and getting all symphathy
746,3,americans overwhelmingly approve of trump's coronavirus travel ban via
747,3,do not let the coronavirus get you down burn one
748,2,coronavirus lockdown made many of us anxious as we are now slowly moving out of lockdown how to manage *coronaphobia
749,1,enjoying the lockdown phase telangana's capital …
750,1,17 days in solitary lockdown
751,1,g o o d m o r n i n g frontline semua
752,2,"""what ” are they afraid of the coronavirus ""0h i see why trump created the coronavirus"
753,3,just add 4 zeros for the real number _under_attack
754,3,call off the search we have found the stupidest take on the
755,2,corona virus killing people out here and dudes still do not wash their hands after a nice pee
756,3,exactly do not be patient
757,2,footage reveals florida beaches packed despite coronavirus threat
758,3,doctors are 'begging' for more coronavirus testing but the system is failing
759,3,man i done learned the whole you got served dance cause of this weak ass corona virus
760,3,senate gop puts ideology above workers in coronavirus bill
761,3,anybody else feel like lied about being negative for coronavirus
762,0,what happened in india migrants suffering with lockdown to go home they are paid fully ticket price but not satisfied
763,3,bro this coronavirus has got people going mad pic twitter com/rreinwbv4i
764,3,i will remember this fucking year till my last breathe angry_face_with_horns __19
765,2,aoc caught exploiting coronavirus panic with disinformation to push socialist agenda on student loans
766,0,pls intervene before delhi govt makes history of delhi no 1 in corona …
767,1,kaisa laga batana writing n narrating n shooting myself first time making the lockdown open my avenues cherry_blossom
768,1,watch new song on corona crisis on youtube sung by me and my sister song courtesy little soldiers movie
769,0,let us be honest i miss the maid – at kubera park
770,3,a man that eat ladies ass hole pussy and all that evil sex satan and corona virus is waiting for you at the hell gate
771,3,bbc news coronavirus germany tightens curbs and bans meetings of more than two
772,3,are we exporting covid19 to the outer space
773,1,same here for the past 3 months with kids on summer vacation and lockdown
774,2,wait until they and their loved ones fall ill with coronavirus
775,2,coronavirus just canceled 4/20 and now i'm mad good thing we have a whole month of it
776,2,coronavirus was killing people before impeachment *began* but yes it is all about the narcissist in the wh
777,1,beauty and the beast the corona version via
778,1,web designer covid 19 national lockdown day 8 bbcearth _photography2018 _n_wings … …
779,0,fir must be lodged against kejriwal for sending hapless labours to anand vihar bus terminal for dying & spreading corona
780,1,from red_heart news front a lockdown music vedio by and team releasing soon
781,0,they will die of food shortages people going to die not for corona virus but for shortages of foods @
782,3,well what is the plan for reimbursement i hate you pic twitter com/eivxrxnarv
783,1,brighten the world with lively smile #แจกความสดใส wonderland …
784,0,4 year old in madhya pradesh body dumped in well _19 …
785,1,happy anniversary to you and your husband enjoy the date
786,3,stupid corona virus pic twitter com/7v8ixplfwr
787,0,i am missing having butter chicken with my chilled beer beer_mug wht i am doing in lockdown having lays with feni zany_face
788,2,how has the coronavirus impacted the food processing industry and food safety …
789,1,thanks for time to time update we are grateful to the deptt in hour of corona crisis
790,3,market called the fed's all in bluff $spy
791,1,follow for business growth … …
792,2,going to tell my kids hum corona pandemic me bhi exam dene jate the _spreading_corona_virus
793,1,welcome to corona from the corona capital if india
794,2,i'd also be afraid to meet congress too they are all self reporting with coronavirus eff that
795,0,heavy_minus_sign heavy_minus_sign play_button ︎ follow ( ) play_button ︎ follow ( ) heavy_minus_sign heavy_minus_sign …
796,2,loved interview w/ the short doc pressed him on difference between and swine flu and seasonal flu
797,1,breaking so twitter can not live without wine during lockdown )
798,3,coronavirus just got worse
799,2,let not your hearts be troubled
800,1,_19 coffee hot_beverage
801,2,mumbai police will do this if they survive through corona that is
802,3,coronavirus woman 39 in icu warns people who doubt they can catch it business insider
803,0,women's work and 19 caring for care workers …
804,0,is it the same in india also new coronavirus losing potency top italian doctor says | article [amp] | reuters …
805,2,taiwan says it warned who about coronavirus in december but its warnings were ignored via
806,1,business insight how technology is changing the world during covid 19 thanking
807,3,they ruined the lockdown do not treat them let karma hit their ass
808,1,honarable prime minister congratulations for your controlling of the covid 19 is great advisement
809,2,markets crashingbrent wti futures crash 20% over saudi arabia russia oil price war fears & coronavirus concerns
810,0,trump rightly said modi is not in good mood because of his failures to combat covid 19 & migrants labours problems
811,1,trust me i am running out of photos which place will you visit post lockdown and why would it be your college … …
812,0,pulwama got its first covid case in 24 days pensive_face so unfortunate – at degree college pulwama
813,2,coronavirus and the dangers of denial via
814,0,i want to go suriname when covid is over
815,3,very true if we all just maybe he will go back to being just an another annoying twitter troll
816,0,me and the squad running to the barbershop after the lockdown
817,1,together we can help stop the spread of coronavirus learn ways to protect yourself and others at _distancing
818,1,nice work love from muzaffarpur kanti
819,3,overly hyped mass hysteria like this is the reason they never let us see the aliens
820,1,thy god save us from do the miracle
821,0,coronavirus update in bangladesh 1 more dies 3 new cases confirmed …
822,1,welcome to new life she fought well against covid 19
823,0,i thought corona was fake omg it is real pic twitter com/hnar5etcyk
824,3,you know what i hate more than covid 19 carole baskin
825,2,please retweet this extremely important amazon is spreading coronavirus
826,0,listening to you music in lockdown in country music star joe diffie dies of coronavirus the hindu
827,0,the reason was disappeared during coronavirus crisis in india was busy in making a for abhin …
828,0,famous bollywood music composer wajid khan passes away due to covid 19 corona takes another one life twitter com/dqbui7wdqr
829,2,11 in stock eco solutions n95 particulate respirator mask w/exhale valve 10 masks ad
830,3,corona virus i implore that you cease activity by april 1st this is not a suggestion this is a demand
831,2,so it turns out i pissed off some conspiracy theorists who think coronavirus is a myth or exaggerated or something fuck them
832,2,what the hell is wrong with you morons words cannot describe how much this pisses me off
833,2,""" but also be aware that autocrats never waste a crisis they will use it to fortify their power """
834,0,so whats going to cause trump's death covid19 …
835,3,fuck corona pic twitter com/uvb8tlchmh
836,2,everyone more worried about festivals and flights being cancelled due to coronavirus than actually dying from it
837,2,global warming march weather x corona virus class cancellation most insane collab of all time
838,3,omg the coronavirus must be serious then
839,0,he wants to convey modi govt revoked article 370 as a result facing 370 cases of corona virus how sick
840,3,all hail ‘miraculous' china pakistan analyst condemns u s coronavirus criticism
841,3,anti vaxers there is no vaccine for the corona virus me shut up you would not take it anyway
842,3,trump the liar was warned by the intel agency in january of the coronavirus he chose to ignore it
843,3,no but the coronavirus is
844,0,yup but they are using it as an excuse to not lockdown mine is short term pain long term gain
845,3,coronavirus is not nothing to fuck with
846,3,"""nothing justifies being rude to others"" and that goes for everything not just because of the coronavirus"
847,1,impose at least 10 days full lockdown 7 to 17 life is more precious than appetite people know who they can manage
848,3,grumpy or dopey who wins the tonight by scaring the fuck out of people more
849,1,easing the lockdown for many glowing_star glowing_star
850,2,you all are scared to go out bc the corona virus but will intentionally lick the hole someone shits from interesting
851,1,dinner tonight …
852,3,after all this coronavirus bs blows over yeah shits going to be lit
853,2,so is also 20 times more lethal than influenza think about that
854,2,fuck the coronavirus i got beiber fever
855,1,i called them they said they will help us thank you so much sir
856,3,so coronavirus is literally trumps fault and why he is so eager to pin it on china
857,3,your masturbatory ego rallies put your magats at risk but you do not really care do you
858,1,from red_heart saptak news a lockdown music video by and team releasing soon
859,3,we deserve the coronavirus
860,3,my dad really rapped my head off about how the coronavirus not coming to the hood it cnt hit black ppl
861,1,a n i g h t i n s i n g a p o r e __ thanks to covid 19 for letting me back into this one particular pleasure … …
862,1,best video yet _lives_matter …
863,2,this coronavirus shit has my anxiety in a bunch
864,0,poor are laughing and askeing where is corona in interior sindth no
865,2,as the new coronavirus spreads conferences suffer via
866,2,fears of homophobic backlash sparked as korean media focus on gay club covid 19 case
867,0,please must watch this video this is the ground realty in kejri govt in covid 19 situation …
868,3,worst part of corona virus is i keep seeing the same mf stolen tweets
869,0,corona is fake
870,1,good tk u let us win the war against corona
871,2,the coronavirus crisis does not have to lead to layoffs
872,2,what if covid 19 was an ec style horror comic sickening is not it hee hee hee ー19 twitter com/n0cp4lrkz2
873,1,set a time to spend with your child so that both of you can look forward to this have fun by exploring new activities
874,2,is coronavirus biological warfare
875,1,lockdown birthday celebration is not that bad pic twitter com/kb8lgp2xzb – at haridwar
876,1,congratulations to and on getting married during lockdown and announcing their pregnancy __bollybuzz pic twitter com/o4mast9yci
877,1,this front camera is really good the city of love …
878,0,i will fill my heart to your soul during covid 19 break out on the world
879,2,if i get the coronavirus i'm purposely sneezing on for being a pussy ass bitch
880,0,quick recap of wats happening around the world america protests rest of the world fighting covid 19 indians with no work in life
881,2,coronavirus mortgage payment worries take these steps
882,2,greece imposes lockdown after coronavirus infections jump pic twitter com/rah1vc2ycv
883,3,haa kafi irritating wala joke corona jantacurfew lockdown twist with nizamuddin wala case
884,0,what would be the situation if raga was pm entire world would laugh at us instead india leading the covid fight …
885,3,the only we need to get rid of forget the this is the fw we need protection from pic twitter com/pkiuvjte78
886,3,hahahaha scousers defeated by coronavirus inject itttt
887,0,muffler talking about mohalla clinics in his televised address in the context of made me feel nauseated and helpless
888,2,coronavirus a world crisis end all sanctions now china and russia call on us to lift sanctions against iran
889,0,tried calling amazon customer care but every time call gets disconnected or line is busy due to covid
890,2,new post follow the link provided david tepper concerned about coronavirus us needs fiscal help
891,2,the national cyber security centre say “opportunistic” are using the outbreak to launch online attacks
892,3,he knows if he tries to say coronavirus he will wind up saying something worse than covfefe
893,3,me *gets coronavirus* my mom it is dat weed yuh smoking
894,1,doctor's are blessing heart_suit specially in this crucial time of corona outbreak __19
895,0,this time it is about indian economy after the covid19 pandemic pls watch comment and share …
896,3,imagine if on april fools the government comes out and says the corona virus was a joke
897,2,casanova shoots music video amid coronavirus scare gets mad when police shut it down report
898,0,human cause nature disaster nature retaliates corona amphan n locust n further become worst
899,2,breakingnews dow futures tumble 1 000 points as oil price war adds to coronavirus stress
900,2,crisis over $spy $es_f $uup $tlt $vixpic twitter com/wytxqo22ez
901,1,extend the lockdown upto 21 april to better results pic twitter com/jxnmbyjzaq
902,1,i appreciate to sonu sir he is doing a good job i want to meet you sir whenever i get a chance thanks
903,2,tens of thousands pack mexico city music festival despite coronavirus concerns via
904,2,i hope the coronavirus has not reached flavortown
905,1,covid 19 complete lockdown saturday & sunday business monday to friday till 7 00 pm
